14,50,AUG 11,PAPA JOHN'S PIZZA NEW WESTMINSTBC,8.39
15,52,AUG 12,WAL-MART SUPERCENTER#5777NEW WESTMINSTBC,178.60
0,5,DEC 27 DEC 30,WAL-MART SUPERCENTER#5777NEW WESTMINSTBC,3.41
1,9,DEC 27 DEC 30,WAL-MART SUPERCENTER#5777NEW WESTMINSTBC,3.36
2,13,DEC 28 DEC 31,WAL-MART SUPERCENTER#5777NEW WESTMINSTBC,7.53
3,17,DEC 29 DEC 31,FONG HOLDINGS LTD - AUTO BURNABY BC,7.50
4,20,DEC 29 JAN 02,WAL-MART SUPERCENTER#5777NEW WESTMINSTBC,174.72
5,24,DEC 29 DEC 30,ESSO 736 6TH AVENUE NEW WESTMINSTBC,42.37
6,28,DEC 31 JAN 02,PAPA JOHN'S PIZZA NEW NEW WESTMINSTBC,10.49
7,32,JAN 01 JAN 02,ESSO 736 6TH AVENUE NEW WESTMINSTBC,1.70
8,35,JAN 01 JAN 02,MCDONALD'S #40094 Q04 NEW WESTMINSTBC,3.01
9,39,JAN 01 JAN 02,ANNUAL FEE,39.00
10,41,JAN 02 JAN 05,MCDONALD'S #40094 Q04 NEW WESTMINSTBC,2.91
11,45,JAN 02 JAN 02,ANNUAL FEE REBATE,-39.00
12,47,JAN 03 JAN 06,WAL-MART SUPERCENTER#5777NEW WESTMINSTBC,2.49
13,50,JAN 03 JAN 06,WAL-MART SUPERCENTER#5777NEW WESTMINSTBC,24.19
14,53,JAN 03 JAN 05,TELUS COMM. WEB EDMONTON AB,22.40
15,55,JAN 03 JAN 05,TELUS MOBILITY SCARBOROUGH ON,74.82
16,57,JAN 04 JAN 07,WAL-MART SUPERCENTER#5777NEW WESTMINSTBC,12.10
0,0,OCT 28,MCDONALD'S #21433 Q04 N/WESTMINSTERBC,1.67
1,4,OCT 30,PETROCAN-7890 CANADA WAY BURNABY BC,50.00
2,8,OCT 30,MCDONALD'S #21433 Q04 N/WESTMINSTERBC,1.46
3,12,OCT 31,MCDONALD'S #21433 Q04 N/WESTMINSTERBC,1.46
4,15,NOV 01,MCDONALD'S #40094 Q04 NEW WESTMINSTBC,4.32
5,19,NOV 02,7 ELEVEN STORE #34525 NEW WESTMINSTBC,3.45
6,23,NOV 03,7 ELEVEN #37122 WESTMINST BC,3.15
7,27,NOV 04,MCDONALD'S #21433 Q04 N/WESTMINSTERBC,3.76
8,30,NOV 05,WAL-MART SUPERCENTER#5777NEW WESTMINSTBC,2.70
9,34,NOV 05,WAL-MART SUPERCENTER#5777NEW WESTMINSTBC,2.70
10,38,NOV 06,WAL-MART SUPERCENTER#5777NEW WESTMINSTBC,14.20
11,42,NOV 06,WAL-MART SUPERCENTER#5777NEW WESTMINSTBC,7.09
12,45,NOV 06,CHEVRON 8TH/MCBRIDE NEW WESTMINS BC,25.04
0,0,JUN 26,TIM HORTONS 3329 QPS NEW WESTMINSTBC,2.74
1,4,JUN 27,TIM HORTONS 3329 QPS NEW WESTMINSTBC,1.41
2,8,JUN 28,MCDONALD'S #40094 Q04 NEW WESTMINSTBC,1.50
3,12,JUL 01,MCDONALD'S #40094 Q04 NEW WESTMINSTBC,3.00
4,15,JUL 02,WAL-MART SUPERCENTER#5777NEW WESTMINSTBC,-103.29
5,19,JUL 02,MCDONALD'S #40094 Q04 NEW WESTMINSTBC,3.00
6,23,JUL 02,MCDONALD'S #40094 Q04 NEW WESTMINSTBC,2.31
7,27,JUL 04,ROGERS *694250366 888-764-3771 ON,107.30
8,30,JUL 04,SUBWAY 45023 BURNABY BC,5.25
9,34,JUL 05,MCDONALD'S #40094 Q04 NEW WESTMINSTBC,4.32
10,38,JUL 06,MCDONALD'S #40094 Q04 NEW WESTMINSTBC,4.50
11,42,JUL 10,PAYMENT - THANK YOU / PAIEMENT - MERCI,-10.00
12,45,JUL 11,PAYMENT - THANK YOU / PAIEMENT - MERCI,-77.92
13,48,JUL 11,PAYMENT - THANK YOU / PAIEMENT - MERCI,-200.36
14,50,JUL 12,WAL-MART SUPERCENTER#5777NEW WESTMINSTBC,5.35
15,52,JUL 13,MCDONALD'S #40094 Q04 NEW WESTMINSTBC,6.01
