Date,Place,amount,Month,Year,Day,City
2015-09-05,WAL-MART SUPERCENTER#5777NEW WESTMINSTBC,0.9,SEP,2015,05,NEW WESTMINSTER
2015-09-05,WAL-MART SUPERCENTER#5777NEW WESTMINSTBC,7.53,SEP,2015,05,NEW WESTMINSTER
2015-09-06,WAL-MART SUPERCENTER#5777NEW WESTMINSTBC,1.8,SEP,2015,06,NEW WESTMINSTER
2015-09-06,WAL-MART SUPERCENTER#5777NEW WESTMINSTBC,0.9,SEP,2015,06,NEW WESTMINSTER
2015-09-06,MCDONALD'S #40094 NEW WESTMINSTBC,1.56,SEP,2015,06,NEW WESTMINSTER
2015-02-26,SHELL 4505 CANADA WAY BURNABY BC,20.0,FEB,2015,26,BURNABY
2015-02-27,MCDONALD'S #21433 Q04 N/WESTMINSTERBC,0.53,FEB,2015,27,NEW WESTMINSTER
2015-02-28,WAL-MART SUPERCENTER#5777NEW WESTMINSTBC,5.05,FEB,2015,28,NEW WESTMINSTER
2015-02-28,MCDONALD'S #40094 Q04 NEW WESTMINSTBC,0.53,FEB,2015,28,NEW WESTMINSTER
2015-02-28,MCDONALD'S #40094 Q04 NEW WESTMINSTBC,4.5,FEB,2015,28,NEW WESTMINSTER
2015-02-28,VANCOUVER AIRPORT PARK RICHMOND BC,8.0,FEB,2015,28,VANCOUVER
2015-03-01,WAL-MART SUPERCENTER#5777NEW WESTMINSTBC,7.06,MAR,2015,01,NEW WESTMINSTER
2015-03-01,ESSO 736 6TH AVENUE NEW WESTMINSTBC,20.0,MAR,2015,01,NEW WESTMINSTER
2015-03-01,MCDONALD'S #40094 Q04 NEW WESTMINSTBC,4.5,MAR,2015,01,NEW WESTMINSTER
2015-03-03,ESSO 736 6TH AVENUE NEW WESTMINSTBC,40.0,MAR,2015,03,NEW WESTMINSTER
2015-03-04,STARBUCKS CAD EGIFT 8778501977 ME,10.0,MAR,2015,04,Unknown
2015-03-07,WAL-MART SUPERCENTER#5777NEW WESTMINSTBC,2.77,MAR,2015,07,NEW WESTMINSTER
2015-03-07,WAL-MART SUPERCENTER#5777NEW WESTMINSTBC,25.94,MAR,2015,07,NEW WESTMINSTER
2015-03-07,FONG HOLDINGS LTD - AUTO BURNABY BC,7.0,MAR,2015,07,BURNABY
2015-03-07,MCDONALD'S #40094 Q04 NEW WESTMINSTBC,6.1,MAR,2015,07,NEW WESTMINSTER
2015-07-25,WAL-MART SUPERCENTER#5777NEW WESTMINSTBC,3.33,JUL,2015,25,NEW WESTMINSTER
2015-07-25,WAL-MART SUPERCENTER#5777NEW WESTMINSTBC,7.53,JUL,2015,25,NEW WESTMINSTER
2015-07-25,WAL-MART SUPERCENTER#5777NEW WESTMINSTBC,0.81,JUL,2015,25,NEW WESTMINSTER
2015-07-26,SHOPPERS DRUG MART #0279 NEW WESTMINSTBC,23.09,JUL,2015,26,NEW WESTMINSTER
2015-07-27,SIMON FRASER UNIVERSITY BURNABY BC,5.0,JUL,2015,27,BURNABY
2015-07-28,SUBWAY 45023 BURNABY BC,5.25,JUL,2015,28,BURNABY
2015-07-28,HI DOZO JAPANESE RESTAURANEW WESTMINSTBC,7.82,JUL,2015,28,NEW WESTMINSTER
2015-07-28,SFU STARBUCKS BURNABY BC,2.0,JUL,2015,28,BURNABY
2015-07-28,WAL-MART SUPERCENTER#5777NEW WESTMINSTBC,1.01,JUL,2015,28,NEW WESTMINSTER
2015-07-29,G&J FOOD BURNABY BC,6.3,JUL,2015,29,BURNABY
2015-07-29,WAL-MART SUPERCENTER#5777NEW WESTMINSTBC,8.02,JUL,2015,29,NEW WESTMINSTER
2015-07-29,SIMON FRASER UNIVERSITY BURNABY BC,5.0,JUL,2015,29,BURNABY
2015-08-01,WAL-MART SUPERCENTER#5777NEW WESTMINSTBC,51.99,AUG,2015,01,NEW WESTMINSTER
2015-08-01,MCDONALD'S #40094 NEW WESTMINSTBC,4.5,AUG,2015,01,NEW WESTMINSTER
2015-08-02,WAL-MART SUPERCENTER#5777NEW WESTMINSTBC,22.5,AUG,2015,02,NEW WESTMINSTER
2015-08-02,WAL-MART SUPERCENTER#5777NEW WESTMINSTBC,29.21,AUG,2015,02,NEW WESTMINSTER
2015-08-02,MCDONALD'S #40094 NEW WESTMINSTBC,4.5,AUG,2015,02,NEW WESTMINSTER
2015-08-03,NANDO'S QUEENSBOROUGH NEW WESTMINSTBC,7.56,AUG,2015,03,NEW WESTMINSTER
2015-08-03,AGNES BARBER & HAIR STYLIN WESTMINSTERBC,12.5,AUG,2015,03,NEW WESTMINSTER
2015-08-03,IMPARK00012298U NEW WESTMINSTBC,2.0,AUG,2015,03,NEW WESTMINSTER
2015-08-04,7-ELEVEN STORE #25164 VANCOUVER BC,4.47,AUG,2015,04,TORONTO
2015-08-04,PETROCAN-7282 KNIGHT ST. VANCOUVER BC,40.0,AUG,2015,04,VANCOUVER
2015-08-04,SFU PARKING SERVICES BURNABY BC,60.0,AUG,2015,04,BURNABY
2015-08-04,SFU PARKING SERVICES BURNABY BC,69.88,AUG,2015,04,BURNABY
2015-08-06,SFU BOOKSTORE BURNABY BURNABY BC,11.2,AUG,2015,06,TORONTO
2015-08-06,SASHIMI SUSHI BURNABY BC,6.2,AUG,2015,06,BURNABY
2015-08-07,G&J FOOD BURNABY BC,6.3,AUG,2015,07,BURNABY
2015-08-08,MCDONALD'S #25022 Q04 VANCOUVER BC,6.78,AUG,2015,08,VANCOUVER
2015-08-08,MCDONALD'S #40094 NEW WESTMINSTBC,1.41,AUG,2015,08,NEW WESTMINSTER
2015-08-09,WAL-MART SUPERCENTER#5777NEW WESTMINSTBC,22.18,AUG,2015,09,NEW WESTMINSTER
2015-08-09,WAL-MART SUPERCENTER#5777NEW WESTMINSTBC,126.0,AUG,2015,09,NEW WESTMINSTER
2015-01-25,WAL-MART SUPERCENTER#5777NEW WESTMINSTBC,14.74,JAN,2015,25,NEW WESTMINSTER
2015-01-27,SFU STARBUCKS BURNABY BC,2.0,JAN,2015,27,BURNABY
2015-01-27,SFU STARBUCKS BURNABY BC,2.0,JAN,2015,27,BURNABY
2015-01-28,WAL-MART SUPERCENTER#5777NEW WESTMINSTBC,7.02,JAN,2015,28,NEW WESTMINSTER
2015-01-28,ESSO 736 6TH AVENUE NEW WESTMINSTBC,8.59,JAN,2015,28,NEW WESTMINSTER
2015-01-28,ESSO 736 6TH AVENUE NEW WESTMINSTBC,38.12,JAN,2015,28,NEW WESTMINSTER
2015-01-28,MCDONALD'S #21433 Q04 N/WESTMINSTERBC,1.77,JAN,2015,28,NEW WESTMINSTER
2015-01-29,SFU STARBUCKS BURNABY BC,2.0,JAN,2015,29,BURNABY
2015-01-29,SFU STARBUCKS BURNABY BC,2.0,JAN,2015,29,BURNABY
2015-01-31,WAL-MART SUPERCENTER#5777NEW WESTMINSTBC,7.84,JAN,2015,31,NEW WESTMINSTER
2015-02-02,SFU STARBUCKS BURNABY BC,2.0,FEB,2015,02,BURNABY
2015-02-02,GAWON KOREAN RESTAURANT BURNABY BC,7.35,FEB,2015,02,BURNABY
2015-02-03,SUBWAY 45023 BURNABY BC,5.25,FEB,2015,03,BURNABY
2015-02-03,SFU STARBUCKS BURNABY BC,2.0,FEB,2015,03,BURNABY
2015-02-04,GAWON KOREAN RESTAURANT BURNABY BC,7.35,FEB,2015,04,BURNABY
2015-02-05,SUBWAY 45023 BURNABY BC,5.25,FEB,2015,05,BURNABY
2015-06-25,A&W #0711 NEW WESTMINSTBC,4.2,JUN,2015,25,NEW WESTMINSTER
2015-06-26,A&W #0711 NEW WESTMINSTBC,3.68,JUN,2015,26,NEW WESTMINSTER
2015-06-26,G&J FOOD BURNABY BC,5.25,JUN,2015,26,BURNABY
2015-06-26,WAL-MART SUPERCENTER#5777NEW WESTMINSTBC,32.66,JUN,2015,26,NEW WESTMINSTER
2015-06-27,WAL-MART SUPERCENTER#5777NEW WESTMINSTBC,2.67,JUN,2015,27,NEW WESTMINSTER
2015-06-27,URBAN PLANET 1386 BURNABY BC,1.17,JUN,2015,27,BURNABY
2015-06-27,TIM HORTONS 2757 QTH NEW WESTMINSTBC,2.85,JUN,2015,27,NEW WESTMINSTER
2015-06-28,THE KEG DUNSMUIR VANCOUVER BC,23.28,JUN,2015,28,VANCOUVER
2015-06-28,TRANSLINK FARE PURCHAS N WESTMINSTERBC,2.75,JUN,2015,28,NEW WESTMINSTER
2015-06-28,A&W #0396 NEW WESTMINSTBC,4.2,JUN,2015,28,NEW WESTMINSTER
2015-06-28,MCDONALD'S #1449 Q04 COQUITLAM BC,2.09,JUN,2015,28,COQUITLAM
2015-06-29,CHARTWELLSSFURAVEQPS BURNABY BC,2.85,JUN,2015,29,BURNABY
2015-06-29,TRANSLINK FARE PURCHAS N WESTMINSTERBC,2.75,JUN,2015,29,NEW WESTMINSTER
2015-06-29,G&J FOOD BURNABY BC,5.25,JUN,2015,29,BURNABY
2015-06-29,WAL-MART SUPERCENTER#5777NEW WESTMINSTBC,31.3,JUN,2015,29,NEW WESTMINSTER
2015-06-30,KOYA JAPAN BURNABY BC,7.76,JUN,2015,30,BURNABY
2015-07-01,ESSO 736 6TH AVENUE NEW WESTMINSTBC,40.0,JUL,2015,01,NEW WESTMINSTER
2015-07-01,MCDONALD'S #40094 NEW WESTMINSTBC,2.1,JUL,2015,01,NEW WESTMINSTER
2015-07-02,TIM HORTONS #2257 NEWWESTMINSTEBC,2.72,JUL,2015,02,NEW WESTMINSTER
2015-07-02,MCDONALD'S #21433 NEW WESTMINSTBC,1.05,JUL,2015,02,NEW WESTMINSTER
2015-07-03,DESI TURKA INDIAN CUISINEBURNABY BC,18.84,JUL,2015,03,BURNABY
2015-07-03,G&J FOOD BURNABY BC,6.3,JUL,2015,03,BURNABY
2015-07-03,MCDONALD'S #21433 NEW WESTMINSTBC,1.05,JUL,2015,03,NEW WESTMINSTER
2015-07-04,WAL-MART SUPERCENTER#5777NEW WESTMINSTBC,2.46,JUL,2015,04,NEW WESTMINSTER
2015-07-04,WAL-MART SUPERCENTER#5777NEW WESTMINSTBC,19.61,JUL,2015,04,NEW WESTMINSTER
2015-07-05,WALMART PORTRAITS25777 NEW WESTMINSTBC,27.99,JUL,2015,05,NEW WESTMINSTER
2015-07-05,WAL-MART SUPERCENTER#5777NEW WESTMINSTBC,5.82,JUL,2015,05,NEW WESTMINSTER
2015-07-05,WAL-MART SUPERCENTER#5777NEW WESTMINSTBC,11.65,JUL,2015,05,NEW WESTMINSTER
2015-07-06,G&J FOOD BURNABY BC,6.3,JUL,2015,06,BURNABY
2015-07-06,MCDONALD'S #21433 NEW WESTMINSTBC,1.05,JUL,2015,06,NEW WESTMINSTER
2015-07-07,CITY OF NEW WESTMINSTE 604-527-4646 BC,25.0,JUL,2015,07,NEW WESTMINSTER
2015-07-07,G&J FOOD BURNABY BC,6.3,JUL,2015,07,BURNABY
2015-07-07,MCDONALD'S #21433 NEW WESTMINSTBC,1.05,JUL,2015,07,NEW WESTMINSTER
2015-07-08,SAVE ON FOODS #919 NEW WESTMINSTBC,7.2,JUL,2015,08,NEW WESTMINSTER
2015-09-26,WAL-MART SUPERCENTER#5777NEW WESTMINSTBC,93.79,SEP,2015,26,NEW WESTMINSTER
2015-09-26,WAL-MART SUPERCENTER#5777NEW WESTMINSTBC,15.3,SEP,2015,26,NEW WESTMINSTER
2015-09-27,WAL-MART SUPERCENTER#3008BURNABY BC,8.77,SEP,2015,27,BURNABY
2015-09-28,APL* ITUNES.COM/BILL 800-676-2775 ON,2.56,SEP,2015,28,Unknown
2015-09-28,MCDONALD'S #21433 NEW WESTMINSTBC,1.88,SEP,2015,28,NEW WESTMINSTER
2015-09-29,ESSO 3965 NORTH ROAD BURNABY BC,40.0,SEP,2015,29,NORTH VANCOUVER
2015-09-29,MCDONALD'S #40094 NEW WESTMINSTBC,4.03,SEP,2015,29,NEW WESTMINSTER
2015-09-30,SHOPPERS DRUG MART #0279 NEW WESTMINSTBC,2.95,SEP,2015,30,NEW WESTMINSTER
2015-10-01,MCDONALD'S #21433 NEW WESTMINSTBC,1.88,OCT,2015,01,NEW WESTMINSTER
2015-10-02,SFU BOOKSTORE BURNABY BURNABY BC,50.97,OCT,2015,02,TORONTO
2015-10-02,MCDONALD'S #21433 NEW WESTMINSTBC,1.88,OCT,2015,02,NEW WESTMINSTER
2015-10-03,WAL-MART SUPERCENTER#5777NEW WESTMINSTBC,1.93,OCT,2015,03,NEW WESTMINSTER
2015-10-03,WAL-MART SUPERCENTER#5777NEW WESTMINSTBC,10.65,OCT,2015,03,NEW WESTMINSTER
2015-10-03,MCDONALD'S #40094 NEW WESTMINSTBC,4.5,OCT,2015,03,NEW WESTMINSTER
2015-11-01,STARBUCKS 00181 N WESTMINSTERBC,4.46,NOV,2015,01,NEW WESTMINSTER
2015-11-02,TIM HORTONS #2257 WESTMINSTER BC,2.15,NOV,2015,02,NEW WESTMINSTER
2015-11-02,SFU STARBUCKS BURNABY BC,2.0,NOV,2015,02,BURNABY
2015-11-02,ESSO 3965 NORTH ROAD BURNABY BC,20.0,NOV,2015,02,NORTH VANCOUVER
2015-11-02,MCDONALD'S #14908 BURNABY BC,5.53,NOV,2015,02,BURNABY
2015-11-02,MCDONALD'S #40255 NEW WESTMINSTBC,1.88,NOV,2015,02,NEW WESTMINSTER
2015-11-03,TIM HORTONS #2257 WESTMINSTER BC,2.01,NOV,2015,03,NEW WESTMINSTER
2015-11-03,MCDONALD'S #14908 BURNABY BC,5.01,NOV,2015,03,BURNABY
2015-11-04,CHARTWELLS - #67358 BURNABY BC,2.36,NOV,2015,04,BURNABY
2015-11-04,CHARTWELLS - #67358 BURNABY BC,2.0,NOV,2015,04,BURNABY
2015-11-04,CHARTWELLS - #67358 BURNABY BC,2.0,NOV,2015,04,BURNABY
2015-11-04,QUESADA BURRITOS AND TACOBURNABY BC,7.02,NOV,2015,04,BURNABY
2015-11-04,ESSO 3965 NORTH ROAD BURNABY BC,20.0,NOV,2015,04,NORTH VANCOUVER
2015-11-05,CHARTWELLSSFURAVEQPS BURNABY BC,2.09,NOV,2015,05,BURNABY
2015-11-05,CHARTWELLS - #67358 BURNABY BC,2.0,NOV,2015,05,BURNABY
2015-11-05,MCDONALD'S #40255 NEW WESTMINSTBC,4.8,NOV,2015,05,NEW WESTMINSTER
2015-11-06,CHARTWELLS - #67358 BURNABY BC,2.0,NOV,2015,06,BURNABY
2015-11-06,CHARTWELLS - #67358 BURNABY BC,2.0,NOV,2015,06,BURNABY
2015-11-06,SFU BOOKSTORE BURNABY BURNABY BC,11.2,NOV,2015,06,TORONTO
2015-11-07,DADDYS DELIGHT PIZZA RICHMOND BC,9.5,NOV,2015,07,RICHMOND
2015-11-07,BC LIQUOR #097 NEW WESTMINSTBC,58.74,NOV,2015,07,NEW WESTMINSTER
2015-11-08,WAL-MART SUPERCENTER#5777NEW WESTMINSTBC,3.97,NOV,2015,08,NEW WESTMINSTER
2015-11-08,ESSO 3965 NORTH ROAD BURNABY BC,40.0,NOV,2015,08,NORTH VANCOUVER
2015-11-08,MCDONALD'S #40094 NEW WESTMINSTBC,3.77,NOV,2015,08,NEW WESTMINSTER
2015-11-09,CHARTWELLS - #67358 BURNABY BC,2.0,NOV,2015,09,BURNABY
2015-11-09,TIM HORTONS #2257 WESTMINSTER BC,2.51,NOV,2015,09,NEW WESTMINSTER
2015-11-09,WAL-MART SUPERCENTER#5777NEW WESTMINSTBC,38.25,NOV,2015,09,NEW WESTMINSTER
2015-11-09,STARBUCKS SFU 67355 BURNABY BC,2.0,NOV,2015,09,BURNABY
2015-11-09,MCDONALD'S #40094 NEW WESTMINSTBC,4.5,NOV,2015,09,NEW WESTMINSTER
2015-11-10,PIZZA HUT #31105 NEW WESTMINSTBC,20.95,NOV,2015,10,NEW WESTMINSTER
2015-11-10,SHELL 5 8 AVE NEW WESTMINSTBC,50.0,NOV,2015,10,NEW WESTMINSTER
2015-11-11,A&W #0396 NEW WESTMINSTBC,4.2,NOV,2015,11,NEW WESTMINSTER
2015-11-11,GNC #04282 NEW WESTMINSTBC,46.19,NOV,2015,11,NEW WESTMINSTER
2015-11-11,WAL-MART SUPERCENTER#5777NEW WESTMINSTBC,1.0,NOV,2015,11,NEW WESTMINSTER
2015-11-13,CHARTWELLSSFURAVEQPS BURNABY BC,2.09,NOV,2015,13,BURNABY
2015-11-13,MONEY'S BEAUTY HAIR SA BURNABY BC,5.25,NOV,2015,13,BURNABY
2015-11-14,A&W #0709 VANCOUVER BC,4.73,NOV,2015,14,VANCOUVER
2015-12-07,PIZZA HUT BURNABY BC,13.65,DEC,2015,07,BURNABY
2015-12-08,STARBUCKS SFU 67355 BURNABY BC,2.0,DEC,2015,08,BURNABY
